#queryIndex	queryItem	stringId	preferredName	annotation
175	P02768	9606.ENSP00000295897	ALB	Serum albumin; Serum albumin, the main protein of plasma, has a good binding capacity for water, Ca(2+), Na(+), K(+), fatty acids, hormones, bilirubin and drugs (Probable). Its main function is the regulation of the colloidal osmotic pressure of blood (Probable). Major zinc transporter in plasma, typically binds about 80% of all plasma zinc. Major calcium and magnesium transporter in plasma, binds approximately 45% of circulating calcium and magnesium in plasma (By similarity). Potentially has more than two calcium-binding sites and might additionally bind calcium in a non-specific man [...] 
176	P02771	9606.ENSP00000379138	AFP	Alpha-fetoprotein; Binds copper, nickel, and fatty acids as well as, and bilirubin less well than, serum albumin. Only a small percentage (less than 2%) of the human AFP shows estrogen-binding properties; Belongs to the ALB/AFP/VDB family.
177	P02774	9606.ENSP00000421725	GC	Vitamin D-binding protein; Involved in vitamin D transport and storage, scavenging of extracellular G-actin, enhancement of the chemotactic activity of C5 alpha for neutrophils in inflammation and macrophage activation. Belongs to the ALB/AFP/VDB family.
178	P02786	9606.ENSP00000376197	TFRC	Transferrin receptor protein 1, serum form; Cellular uptake of iron occurs via receptor-mediated endocytosis of ligand-occupied transferrin receptor into specialized endosomes. Endosomal acidification leads to iron release. The apotransferrin-receptor complex is then recycled to the cell surface with a return to neutral pH and the concomitant loss of affinity of apotransferrin for its receptor. Transferrin receptor is necessary for development of erythrocytes and the nervous system (By similarity). A second ligand, the heditary hemochromatosis protein HFE, competes for binding with tra [...] 
179	P02787	9606.ENSP00000385834	TF	Serotransferrin; Transferrins are iron binding transport proteins which can bind two Fe(3+) ions in association with the binding of an anion, usually bicarbonate. It is responsible for the transport of iron from sites of absorption and heme degradation to those of storage and utilization. Serum transferrin may also have a further role in stimulating cell proliferation.
180	P02790	9606.ENSP00000265983	HPX	Hemopexin; Binds heme and transports it to the liver for breakdown and iron recovery, after which the free hemopexin returns to the circulation.
181	P02814	9606.ENSP00000481313	SMR3B	Submaxillary gland androgen regulated protein 3B; Belongs to the PROL1/PROL3 family.
182	P03952	9606.ENSP00000264690	KLKB1	Plasma kallikrein heavy chain; The enzyme cleaves Lys-Arg and Arg-Ser bonds. It activates, in a reciprocal reaction, factor XII after its binding to a negatively charged surface. It also releases bradykinin from HMW kininogen and may also play a role in the renin-angiotensin system by converting prorenin into renin; Belongs to the peptidase S1 family. Plasma kallikrein subfamily.
183	P04003	9606.ENSP00000356037	C4BPA	C4b-binding protein alpha chain; Controls the classical pathway of complement activation. It binds as a cofactor to C3b/C4b inactivator (C3bINA), which then hydrolyzes the complement fragment C4b. It also accelerates the degradation of the C4bC2a complex (C3 convertase) by dissociating the complement fragment C2a. Alpha chain binds C4b. It interacts also with anticoagulant protein S and with serum amyloid P component.
184	P04004	9606.ENSP00000226218	VTN	Vitronectin V10 subunit; Vitronectin is a cell adhesion and spreading factor found in serum and tissues. Vitronectin interact with glycosaminoglycans and proteoglycans. Is recognized by certain members of the integrin family and serves as a cell-to-substrate adhesion molecule. Inhibitor of the membrane-damaging effect of the terminal cytolytic complement pathway.
185	P04040	9606.ENSP00000241052	CAT	Catalase; Occurs in almost all aerobically respiring organisms and serves to protect cells from the toxic effects of hydrogen peroxide. Promotes growth of cells including T-cells, B-cells, myeloid leukemia cells, melanoma cells, mastocytoma cells and normal and transformed fibroblast cells.
186	P04075	9606.ENSP00000496166	ALDOA	Fructose-bisphosphate aldolase A; Plays a key role in glycolysis and gluconeogenesis. In addition, may also function as scaffolding protein (By similarity). Belongs to the class I fructose-bisphosphate aldolase family.
187	P04080	9606.ENSP00000291568	CSTB	Cystatin-B; This is an intracellular thiol proteinase inhibitor. Tightly binding reversible inhibitor of cathepsins L, H and B; Belongs to the cystatin family.
188	P04114	9606.ENSP00000233242	APOB	Apolipoprotein B-100; Apolipoprotein B is a major protein constituent of chylomicrons (apo B-48), LDL (apo B-100) and VLDL (apo B-100). Apo B- 100 functions as a recognition signal for the cellular binding and internalization of LDL particles by the apoB/E receptor.
189	P04180	9606.ENSP00000264005	LCAT	Phosphatidylcholine-sterol acyltransferase; Central enzyme in the extracellular metabolism of plasma lipoproteins. Synthesized mainly in the liver and secreted into plasma where it converts cholesterol and phosphatidylcholines (lecithins) to cholesteryl esters and lysophosphatidylcholines on the surface of high and low density lipoproteins (HDLs and LDLs). The cholesterol ester is then transported back to the liver. Has a preference for plasma 16:0-18:2 or 18:O-18:2 phosphatidylcholines. Also produced in the brain by primary astrocytes, and esterifies free cholesterol on nascent APOE-c [...] 
190	P04196	9606.ENSP00000232003	HRG	Histidine-rich glycoprotein; Plasma glycoprotein that binds a number of ligands such as heme, heparin, heparan sulfate, thrombospondin, plasminogen, and divalent metal ions. Binds heparin and heparin/glycosaminoglycans in a zinc-dependent manner. Binds heparan sulfate on the surface of liver, lung, kidney and heart endothelial cells. Binds to N-sulfated polysaccharide chains on the surface of liver endothelial cells. Inhibits rosette formation. Acts as an adapter protein and is implicated in regulating many processes such as immune complex and pathogen clearance, cell chemotaxis, cell  [...] 
191	P04217	9606.ENSP00000263100	A1BG	Alpha-1B-glycoprotein; alpha-1-B glycoprotein.
192	P04350	9606.ENSP00000264071	TUBB4A	Tubulin beta-4A chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.
196	P04792	9606.ENSP00000248553	HSPB1	Heat shock protein beta-1; Small heat shock protein which functions as a molecular chaperone probably maintaining denatured proteins in a folding- competent state. Plays a role in stress resistance and actin organization. Through its molecular chaperone activity may regulate numerous biological processes including the phosphorylation and the axonal transport of neurofilament proteins.
197	P04908	9606.ENSP00000303373	H2AC8	Histone H2A type 1-B/E; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.
198	P05062	9606.ENSP00000497767	ALDOB	Aldolase, fructose-bisphosphate B.
199	P05089	9606.ENSP00000349446	ARG1	Arginase-1; Key element of the urea cycle converting L-arginine to urea and L-ornithine, which is further metabolized into metabolites proline and polyamides that drive collagen synthesis and bioenergetic pathways critical for cell proliferation, respectively; the urea cycle takes place primarily in the liver and, to a lesser extent, in the kidneys. Belongs to the arginase family.
200	P05090	9606.ENSP00000345179	APOD	Apolipoprotein D; APOD occurs in the macromolecular complex with lecithin- cholesterol acyltransferase. It is probably involved in the transport and binding of bilin. Appears to be able to transport a variety of ligands in a number of different contexts.
201	P05109	9606.ENSP00000357721	S100A8	Protein S100-A8; S100A8 is a calcium- and zinc-binding protein which plays a prominent role in the regulation of inflammatory processes and immune response. It can induce neutrophil chemotaxis and adhesion. Predominantly found as calprotectin (S100A8/A9) which has a wide plethora of intra- and extracellular functions. The intracellular functions include: facilitating leukocyte arachidonic acid trafficking and metabolism, modulation of the tubulin-dependent cytoskeleton during migration of phagocytes and activation of the neutrophilic NADPH- oxidase. Activates NADPH-oxidase by facilitat [...] 
202	P05154	9606.ENSP00000333203	SERPINA5	Plasma serine protease inhibitor; Heparin-dependent serine protease inhibitor acting in body fluids and secretions. Inactivates serine proteases by binding irreversibly to their serine activation site. Involved in the regulation of intravascular and extravascular proteolytic activities. Plays hemostatic roles in the blood plasma. Acts as a procoagulant and proinflammatory factor by inhibiting the anticoagulant activated protein C factor as well as the generation of activated protein C factor by the thrombin/thrombomodulin complex. Acts as an anticoagulant factor by inhibiting blood coa [...] 
203	P05155	9606.ENSP00000278407	SERPING1	Plasma protease C1 inhibitor; Activation of the C1 complex is under control of the C1- inhibitor. It forms a proteolytically inactive stoichiometric complex with the C1r or C1s proteases. May play a potentially crucial role in regulating important physiological pathways including complement activation, blood coagulation, fibrinolysis and the generation of kinins. Very efficient inhibitor of FXIIa. Inhibits chymotrypsin and kallikrein.
204	P05156	9606.ENSP00000378131	CFI	Complement factor I heavy chain; Trypsin-like serine protease that plays an essential role in regulating the immune response by controlling all complement pathways. Inhibits these pathways by cleaving three peptide bonds in the alpha- chain of C3b and two bonds in the alpha-chain of C4b thereby inactivating these proteins. Essential cofactors for these reactions include factor H and C4BP in the fluid phase and membrane cofactor protein/CD46 and CR1 on cell surfaces. The presence of these cofactors on healthy cells allows degradation of deposited C3b by CFI in order to prevent undesired [...] 
205	P05160	9606.ENSP00000356382	F13B	Coagulation factor XIII B chain; The B chain of factor XIII is not catalytically active, but is thought to stabilize the A subunits and regulate the rate of transglutaminase formation by thrombin.
206	P05166	9606.ENSP00000419027	PCCB	Propionyl-CoA carboxylase beta chain, mitochondrial; This is one of the 2 subunits of the biotin-dependent propionyl-CoA carboxylase (PCC), a mitochondrial enzyme involved in the catabolism of odd chain fatty acids, branched-chain amino acids isoleucine, threonine, methionine, and valine and other metabolites. Propionyl-CoA carboxylase catalyzes the carboxylation of propionyl-CoA/propanoyl-CoA to D-methylmalonyl- CoA/(S)-methylmalonyl-CoA. Within the holoenzyme, the alpha subunit catalyzes the ATP-dependent carboxylation of the biotin carried by the biotin carboxyl carrier (BCC) domain [...] 
207	P05204	9606.ENSP00000355228	HMGN2	Non-histone chromosomal protein HMG-17; Binds to the inner side of the nucleosomal DNA thus altering the interaction between the DNA and the histone octamer. May be involved in the process which maintains transcribable genes in a unique chromatin conformation (By similarity).
208	P05496	9606.ENSP00000377033	ATP5MC1	ATP synthase F(0) complex subunit C1, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanis [...] 
209	P05543	9606.ENSP00000329374	SERPINA7	Thyroxine-binding globulin; Major thyroid hormone transport protein in serum; Belongs to the serpin family.
210	P05546	9606.ENSP00000215727	SERPIND1	Heparin cofactor 2; Thrombin inhibitor activated by the glycosaminoglycans, heparin or dermatan sulfate. In the presence of the latter, HC-II becomes the predominant thrombin inhibitor in place of antithrombin III (AT-III). Also inhibits chymotrypsin, but in a glycosaminoglycan- independent manner; Belongs to the serpin family.
214	P06396	9606.ENSP00000362924	GSN	Gelsolin; Calcium-regulated, actin-modulating protein that binds to the plus (or barbed) ends of actin monomers or filaments, preventing monomer exchange (end-blocking or capping). It can promote the assembly of monomers into filaments (nucleation) as well as sever filaments already formed. Plays a role in ciliogenesis.
215	P06576	9606.ENSP00000262030	ATP5F1B	ATP synthase subunit beta, mitochondrial; Mitochondrial membrane ATP synthase (F(1)F(0) ATP synthase or Complex V) produces ATP from ADP in the presence of a proton gradient across the membrane which is generated by electron transport complexes of the respiratory chain. F-type ATPases consist of two structural domains, F(1) - containing the extramembraneous catalytic core, and F(0) - containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the c [...] 
216	P06681	9606.ENSP00000299367	C2	Complement C2a fragment; Component C2 which is part of the classical pathway of the complement system is cleaved by activated factor C1 into two fragments: C2b and C2a. C2a, a serine protease, then combines with complement factor C4b to generate the C3 or C5 convertase; Belongs to the peptidase S1 family.
217	P06702	9606.ENSP00000357727	S100A9	Protein S100-A9; S100A9 is a calcium- and zinc-binding protein which plays a prominent role in the regulation of inflammatory processes and immune response. It can induce neutrophil chemotaxis, adhesion, can increase the bactericidal activity of neutrophils by promoting phagocytosis via activation of SYK, PI3K/AKT, and ERK1/2 and can induce degranulation of neutrophils by a MAPK-dependent mechanism. Predominantly found as calprotectin (S100A8/A9) which has a wide plethora of intra- and extracellular functions. The intracellular functions include: facilitating leukocyte arachidonic acid [...] 
218	P06727	9606.ENSP00000350425	APOA4	Apolipoprotein A-IV; May have a role in chylomicrons and VLDL secretion and catabolism. Required for efficient activation of lipoprotein lipase by ApoC-II; potent activator of LCAT. Apoa-IV is a major component of HDL and chylomicrons; Belongs to the apolipoprotein A1/A4/E family.
219	P06733	9606.ENSP00000495530	ENO1	Alpha-enolase; Glycolytic enzyme the catalyzes the conversion of 2- phosphoglycerate to phosphoenolpyruvate. In addition to glycolysis, involved in various processes such as growth control, hypoxia tolerance and allergic responses. May also function in the intravascular and pericellular fibrinolytic system due to its ability to serve as a receptor and activator of plasminogen on the cell surface of several cell-types such as leukocytes and neurons. Stimulates immunoglobulin production. Belongs to the enolase family.
220	P06899	9606.ENSP00000476136	H2BC11	Histone H2B type 1-J; Core component of nucleosome. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post-translational modifications of histones, also called histone code, and nucleosome remodeling.
221	P07225	9606.ENSP00000377783	PROS1	Vitamin K-dependent protein S; Anticoagulant plasma protein; it is a cofactor to activated protein C in the degradation of coagulation factors Va and VIIIa. It helps to prevent coagulation and stimulating fibrinolysis.
222	P07339	9606.ENSP00000236671	CTSD	Cathepsin D heavy chain; Acid protease active in intracellular protein breakdown. Plays a role in APP processing following cleavage and activation by ADAM30 which leads to APP degradation. Involved in the pathogenesis of several diseases such as breast cancer and possibly Alzheimer disease.
223	P07357	9606.ENSP00000354458	C8A	Complement component C8 alpha chain; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C8A inserts into the target membrane, but does not form pores by itself. Belongs to the complement C6/C7/C8/C9 family.
224	P07358	9606.ENSP00000360281	C8B	Complement component C8 beta chain; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells; Belongs to the complement C6/C7/C8/C9 family.
225	P07360	9606.ENSP00000360697	C8G	Complement component C8 gamma chain; C8 is a constituent of the membrane attack complex. C8 binds to the C5B-7 complex, forming the C5B-8 complex. C5-B8 binds C9 and acts as a catalyst in the polymerization of C9. The gamma subunit seems to be able to bind retinol.
226	P07384	9606.ENSP00000431984	CAPN1	Calpain-1 catalytic subunit; Calcium-regulated non-lysosomal thiol-protease which catalyzes limited proteolysis of substrates involved in cytoskeletal remodeling and signal transduction; Belongs to the peptidase C2 family.
227	P07437	9606.ENSP00000339001	TUBB	Tubulin beta chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.
228	P07737	9606.ENSP00000225655	PFN1	Profilin-1; Binds to actin and affects the structure of the cytoskeleton. At high concentrations, profilin prevents the polymerization of actin, whereas it enhances it at low concentrations. By binding to PIP2, it inhibits the formation of IP3 and DG. Inhibits androgen receptor (AR) and HTT aggregation and binding of G-actin is essential for its inhibition of AR.
229	P07910	9606.ENSP00000451291	HNRNPC	Heterogeneous nuclear ribonucleoproteins C1/C2; Binds pre-mRNA and nucleates the assembly of 40S hnRNP particles. Interacts with poly-U tracts in the 3'-UTR or 5'-UTR of mRNA and modulates the stability and the level of translation of bound mRNA molecules. Single HNRNPC tetramers bind 230-240 nucleotides. Trimers of HNRNPC tetramers bind 700 nucleotides. May play a role in the early steps of spliceosome assembly and pre-mRNA splicing. N6-methyladenosine (m6A) has been shown to alter the local structure in mRNAs and long non-coding RNAs (lncRNAs) via a mechanism named 'm(6)A-switch', fa [...] 
230	P07996	9606.ENSP00000260356	THBS1	Thrombospondin-1; Adhesive glycoprotein that mediates cell-to-cell and cell-to- matrix interactions. Binds heparin. May play a role in dentinogenesis and/or maintenance of dentin and dental pulp (By similarity). Ligand for CD36 mediating antiangiogenic properties. Plays a role in ER stress response, via its interaction with the activating transcription factor 6 alpha (ATF6) which produces adaptive ER stress response factors (By similarity).
231	P08185	9606.ENSP00000342850	SERPINA6	Corticosteroid-binding globulin; Major transport protein for glucocorticoids and progestins in the blood of almost all vertebrate species.
232	P08603	9606.ENSP00000356399	CFH	Complement factor H; Glycoprotein that plays an essential role in maintaining a well-balanced immune response by modulating complement activation. Acts as a soluble inhibitor of complement, where its binding to self markers such as glycan structures prevents complement activation and amplification on cell surfaces. Accelerates the decay of the complement alternative pathway (AP) C3 convertase C3bBb, thus preventing local formation of more C3b, the central player of the complement amplification loop. As a cofactor of the serine protease factor I, CFH also regulates proteolytic degradati [...] 
233	P08670	9606.ENSP00000446007	VIM	Vimentin; Vimentins are class-III intermediate filaments found in various non-epithelial cells, especially mesenchymal cells. Vimentin is attached to the nucleus, endoplasmic reticulum, and mitochondria, either laterally or terminally.
234	P08697	9606.ENSP00000321853	SERPINF2	Alpha-2-antiplasmin; Serine protease inhibitor. The major targets of this inhibitor are plasmin and trypsin, but it also inactivates matriptase- 3/TMPRSS7 and chymotrypsin.
235	P09104	9606.ENSP00000437402	ENO2	Gamma-enolase; Has neurotrophic and neuroprotective properties on a broad spectrum of central nervous system (CNS) neurons. Binds, in a calcium- dependent manner, to cultured neocortical neurons and promotes cell survival (By similarity).
236	P09211	9606.ENSP00000381607	GSTP1	Glutathione S-transferase P; Conjugation of reduced glutathione to a wide number of exogenous and endogenous hydrophobic electrophiles. Regulates negatively CDK5 activity via p25/p35 translocation to prevent neurodegeneration.
237	P09871	9606.ENSP00000385035	C1S	Complement C1s subcomponent heavy chain; C1s B chain is a serine protease that combines with C1q and C1r to form C1, the first component of the classical pathway of the complement system. C1r activates C1s so that it can, in turn, activate C2 and C4.
238	P0C0L4	9606.ENSP00000396688	C4A	Complement C4-A alpha chain; Non-enzymatic component of C3 and C5 convertases and thus essential for the propagation of the classical complement pathway. Covalently binds to immunoglobulins and immune complexes and enhances the solubilization of immune aggregates and the clearance of IC through CR1 on erythrocytes. C4A isotype is responsible for effective binding to form amide bonds with immune aggregates or protein antigens, while C4B isotype catalyzes the transacylation of the thioester carbonyl group to form ester bonds with carbohydrate antigens.
239	P0C0L5	9606.ENSP00000415941	C4B	Complement C4-B alpha chain; Non-enzymatic component of the C3 and C5 convertases and thus essential for the propagation of the classical complement pathway. Covalently binds to immunoglobulins and immune complexes and enhances the solubilization of immune aggregates and the clearance of IC through CR1 on erythrocytes. C4A isotype is responsible for effective binding to form amide bonds with immune aggregates or protein antigens, while C4B isotype catalyzes the transacylation of the thioester carbonyl group to form ester bonds with carbohydrate antigens.
242	P0CG38	9606.ENSP00000392718	POTEI	POTE ankyrin domain family member I; In the N-terminal section; belongs to the POTE family.
243	P0CG47	9606.ENSP00000478771	UBB	Polyubiquitin-B; [Ubiquitin]: Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in DNA repair [...] 
244	P0CG48	9606.ENSP00000441543	UBC	Polyubiquitin-C; [Ubiquitin]: Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in DNA repair [...] 
245	P0DMR1	9606.ENSP00000485450	HNRNPCL4	Heterogeneous nuclear ribonucleoprotein C like 4.
246	P0DMV8	9606.ENSP00000364801	HSPA1B	Heat shock 70 kDa protein 1A; Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation. This is achieved through cycles of ATP binding, ATP hydrolysis and AD [...] 
252	P0DP04	9606.ENSP00000481152	IGHV3-43D	Immunoglobulin heavy variable 3-43D; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, whi [...] 
255	P0DP08	9606.ENSP00000478289	LOC102723407	Immunoglobulin heavy variable 4-38-2; V region of the variable domain of immunoglobulin heavy chains that participates in the antigen recognition. Immunoglobulins, also known as antibodies, are membrane-bound or secreted glycoproteins produced by B lymphocytes. In the recognition phase of humoral immunity, the membrane-bound immunoglobulins serve as receptors which, upon binding of a specific antigen, trigger the clonal expansion and differentiation of B lymphocytes into immunoglobulins- secreting plasma cells. Secreted immunoglobulins mediate the effector phase of humoral immunity, wh [...] 
257	P0DPH8	9606.ENSP00000326042	TUBA3D	Detyrosinated tubulin alpha-3C chain; Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain.
259	P10412	9606.ENSP00000307705	H1-4	Histone H1.4; Histone H1 protein binds to linker DNA between nucleosomes forming the macromolecular structure known as the chromatin fiber. Histones H1 are necessary for the condensation of nucleosome chains into higher-order structured fibers. Acts also as a regulator of individual gene transcription through chromatin remodeling, nucleosome spacing and DNA methylation (By similarity).
260	P10643	9606.ENSP00000322061	C7	Complement component C7; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C7 serves as a membrane anchor; Belongs to the complement C6/C7/C8/C9 family.
261	P10809	9606.ENSP00000340019	HSPD1	60 kDa heat shock protein, mitochondrial; Chaperonin implicated in mitochondrial protein import and macromolecular assembly. Together with Hsp10, facilitates the correct folding of imported proteins. May also prevent misfolding and promote the refolding and proper assembly of unfolded polypeptides generated under stress conditions in the mitochondrial matrix. The functional units of these chaperonins consist of heptameric rings of the large subunit Hsp60, which function as a back- to-back double ring. In a cyclic reaction, Hsp60 ring complexes bind one unfolded substrate protein per ri [...] 
262	P11021	9606.ENSP00000324173	HSPA5	Endoplasmic reticulum chaperone BiP; Endoplasmic reticulum chaperone that plays a key role in protein folding and quality control in the endoplasmic reticulum lumen. Involved in the correct folding of proteins and degradation of misfolded proteins via its interaction with DNAJC10/ERdj5, probably to facilitate the release of DNAJC10/ERdj5 from its substrate (By similarity). Acts as a key repressor of the ERN1/IRE1-mediated unfolded protein response (UPR). In the unstressed endoplasmic reticulum, recruited by DNAJB9/ERdj4 to the luminal region of ERN1/IRE1, leading to disrupt the dimeriz [...] 
263	P11142	9606.ENSP00000437125	HSPA8	Heat shock cognate 71 kDa protein; Molecular chaperone implicated in a wide variety of cellular processes, including protection of the proteome from stress, folding and transport of newly synthesized polypeptides, activation of proteolysis of misfolded proteins and the formation and dissociation of protein complexes. Plays a pivotal role in the protein quality control system, ensuring the correct folding of proteins, the re-folding of misfolded proteins and controlling the targeting of proteins for subsequent degradation. This is achieved through cycles of ATP binding, ATP hydrolysis a [...] 
264	P11597	9606.ENSP00000200676	CETP	Cholesteryl ester transfer protein; Involved in the transfer of neutral lipids, including cholesteryl ester and triglyceride, among lipoprotein particles. Allows the net movement of cholesteryl ester from high density lipoproteins/HDL to triglyceride-rich very low density lipoproteins/VLDL, and the equimolar transport of triglyceride from VLDL to HDL. Regulates the reverse cholesterol transport, by which excess cholesterol is removed from peripheral tissues and returned to the liver for elimination ; Belongs to the BPI/LBP/Plunc superfamily. BPI/LBP family.
265	P12259	9606.ENSP00000356771	F5	Coagulation factor V heavy chain; Central regulator of hemostasis. It serves as a critical cofactor for the prothrombinase activity of factor Xa that results in the activation of prothrombin to thrombin.
266	P12270	9606.ENSP00000356448	TPR	Nucleoprotein TPR; Component of the nuclear pore complex (NPC), a complex required for the trafficking across the nuclear envelope. Functions as a scaffolding element in the nuclear phase of the NPC essential for normal nucleocytoplasmic transport of proteins and mRNAs, plays a role in the establishment of nuclear-peripheral chromatin compartmentalization in interphase, and in the mitotic spindle checkpoint signaling during mitosis. Involved in the quality control and retention of unspliced mRNAs in the nucleus; in association with NUP153, regulates the nuclear export of unspliced mRNA [...] 
267	P12273	9606.ENSP00000291009	PIP	Prolactin induced protein; Belongs to the PIP family.
268	P13639	9606.ENSP00000307940	EEF2	Elongation factor 2; Catalyzes the GTP-dependent ribosomal translocation step during translation elongation. During this step, the ribosome changes from the pre-translocational (PRE) to the post-translocational (POST) state as the newly formed A-site-bound peptidyl-tRNA and P-site-bound deacylated tRNA move to the P and E sites, respectively. Catalyzes the coordinated movement of the two tRNA molecules, the mRNA and conformational changes in the ribosome.
269	P13671	9606.ENSP00000263413	C6	Complement component C6; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells.
270	P13796	9606.ENSP00000381581	LCP1	Plastin-2; Actin-binding protein. Plays a role in the activation of T-cells in response to costimulation through TCR/CD3 and CD2 or CD28. Modulates the cell surface expression of IL2RA/CD25 and CD69.
271	P13929	9606.ENSP00000324105	ENO3	Beta-enolase; Appears to have a function in striated muscle development and regeneration; Belongs to the enolase family.
272	P13942	9606.ENSP00000363840	COL11A2	Collagen alpha-2(XI) chain; May play an important role in fibrillogenesis by controlling lateral growth of collagen II fibrils.
273	P14136	9606.ENSP00000253408	GFAP	Glial fibrillary acidic protein; GFAP, a class-III intermediate filament, is a cell-specific marker that, during the development of the central nervous system, distinguishes astrocytes from other glial cells.
274	P14618	9606.ENSP00000320171	PKM	Pyruvate kinase PKM; Glycolytic enzyme that catalyzes the transfer of a phosphoryl group from phosphoenolpyruvate (PEP) to ADP, generating ATP. Stimulates POU5F1-mediated transcriptional activation. Plays a general role in caspase independent cell death of tumor cells. The ratio between the highly active tetrameric form and nearly inactive dimeric form determines whether glucose carbons are channeled to biosynthetic processes or used for glycolytic ATP production. The transition between the 2 forms contributes to the control of glycolysis and is important for tumor cell proliferation a [...] 
275	P14923	9606.ENSP00000377508	JUP	Junction plakoglobin; Common junctional plaque protein. The membrane-associated plaques are architectural elements in an important strategic position to influence the arrangement and function of both the cytoskeleton and the cells within the tissue. The presence of plakoglobin in both the desmosomes and in the intermediate junctions suggests that it plays a central role in the structure and function of submembranous plaques. Acts as a substrate for VE-PTP and is required by it to stimulate VE- cadherin function in endothelial cells. Can replace beta-catenin in E- cadherin/catenin adhes [...] 
276	P15104	9606.ENSP00000307900	GLUL	Glutamine synthetase; Glutamine synthetase that catalyzes the ATP-dependent conversion of glutamate and ammonia to glutamine. Its role depends on tissue localization: in the brain, it regulates the levels of toxic ammonia and converts neurotoxic glutamate to harmless glutamine, whereas in the liver, it is one of the enzymes responsible for the removal of ammonia (By similarity). Essential for proliferation of fetal skin fibroblasts. Independently of its glutamine synthetase activity, required for endothelial cell migration during vascular development: acts by regulating membrane locali [...] 
277	P15311	9606.ENSP00000338934	EZR	Ezrin; Probably involved in connections of major cytoskeletal structures to the plasma membrane. In epithelial cells, required for the formation of microvilli and membrane ruffles on the apical pole. Along with PLEKHG6, required for normal macropinocytosis.
278	P15814	9606.ENSP00000329312	IGLL1	Immunoglobulin lambda-like polypeptide 1; Critical for B-cell development.
279	P16104	9606.ENSP00000434024	H2AX	Histone H2AX; Variant histone H2A which replaces conventional H2A in a subset of nucleosomes. Nucleosomes wrap and compact DNA into chromatin, limiting DNA accessibility to the cellular machineries which require DNA as a template. Histones thereby play a central role in transcription regulation, DNA repair, DNA replication and chromosomal stability. DNA accessibility is regulated via a complex set of post- translational modifications of histones, also called histone code, and nucleosome remodeling. Required for checkpoint-mediated arrest of cell cycle progression in response to low dos [...] 
